round_number,game_mode,is_rated,map_slug,is_team_duels,real_lat,real_lng,real_country,round_start,round_end,my_lat,my_lng,my_guessed_country,my_dist_m,my_dist_km,my_score,my_ttg_s,my_hp_before,my_hp_after,my_hp_delta,opp_lat,opp_lng,opp_guessed_country,opp_dist_m,opp_dist_km,opp_score,opp_ttg_s,opp_hp_before,opp_hp_after,opp_hp_delta,round_result,guessed_correctly,opp_correct,real_country_name,my_guessed_country_name,opp_guessed_country_name,region,dist_delta_km
5,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,60.72237211175317,-46.0363283744908,gl,2026-01-25 15:36:20.500000+00:00,2026-01-25 15:36:45.425000+00:00,62.22548857317923,-6.943989033646942,fo,2050779.1848598788,2050.78,1654.0,26.4,5615.0,2293.0,-3322.0,64.14939457864415,-51.56321159941158,gl,475128.5754569711,475.13,3869.0,9.93,4542.0,4542.0,0.0,L,False,True,Greenland,Faroe Islands,Greenland,,1575.65
6,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,47.79282998131441,-69.57608766627295,ca,2026-01-25 15:36:59.224000+00:00,2026-01-25 15:37:30.595000+00:00,42.08803155936634,-77.97267403609408,us,915056.313019709,915.06,3052.0,16.37,2293.0,2293.0,0.0,49.00620018098335,-93.43840007695842,us,1759514.104326849,1759.51,1935.0,25.1,4542.0,2308.0,-2234.0,W,False,False,Canada,United States,United States,Quebec,-844.45
7,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,46.26793864529797,14.58101858233344,si,2026-01-25 15:37:36.588000+00:00,2026-01-25 15:38:04.842000+00:00,45.09571565790084,26.37265100336612,ro,924379.2742138404,924.38,3037.0,13.25,2293.0,0.0,-2293.0,46.17526004172856,14.54120375464865,si,10750.9710326599,10.75,4971.0,12.85,2308.0,2308.0,0.0,L,False,True,Slovenia,Romania,Slovenia,,913.63
1,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,5.8833368781427104,-71.88444889060735,co,2026-01-25 15:26:00.035000+00:00,2026-01-25 15:27:05.786000+00:00,-9.860805634899895,-75.71530041062759,pe,1801368.3694195545,1801.37,1892.0,50.75,6000.0,6000.0,0.0,-18.19787679267365,-65.58527406643564,bo,2765442.2503736545,2765.44,1125.0,50.24,6000.0,5233.0,-767.0,W,False,False,Colombia,Peru,"Bolivia, Plurinational State of",,-964.0700000000002
2,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,-37.17540342457095,-72.9372468965563,cl,2026-01-25 15:27:03.044000+00:00,2026-01-25 15:27:47.295000+00:00,25.98923210393539,-101.2108052631168,mx,7620413.772389671,7620.41,82.0,29.25,6000.0,3787.0,-2213.0,-27.59134670935618,-62.53982907371012,ar,1443360.321556458,1443.36,2295.0,42.59,5233.0,5233.0,0.0,L,False,False,Chile,Mexico,Argentina,,6177.05
3,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,49.96255721690101,9.764234581263192,de,2026-01-25 15:27:57.891000+00:00,2026-01-25 15:28:26.228000+00:00,48.12480187138623,11.584455202885737,de,243621.3223961142,243.62,4384.0,13.34,3787.0,3787.0,0.0,53.818702001081896,10.413772607422391,de,431089.3109254667,431.09,3962.0,26.11,5233.0,4811.0,-422.0,W,True,True,Germany,Germany,Germany,,-187.46999999999997
4,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,58.52059404023616,35.472873175994444,ru,2026-01-25 15:28:36.263000+00:00,2026-01-25 15:29:02.965000+00:00,59.761012617254885,53.17339618779416,ru,1015812.394182603,1015.81,2890.0,11.7,3787.0,3057.0,-730.0,55.01634798388716,42.94403137278861,ru,598650.8001114341,598.65,3620.0,25.47,4811.0,4811.0,0.0,L,True,True,Russian Federation,Russian Federation,Russian Federation,Leningrad MD,417.15999999999997
5,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,56.39234240648653,32.033086185285065,ru,2026-01-25 15:29:13.991000+00:00,2026-01-25 15:29:45.840000+00:00,50.11392161523555,34.33433120397112,ua,714610.9848981302,714.61,3400.0,16.85,3057.0,3057.0,0.0,47.34691368407117,43.974050877950525,ru,1293860.4176704565,1293.86,2488.0,25.88,4811.0,3443.0,-1368.0,W,False,True,Russian Federation,Ukraine,Russian Federation,Leningrad MD,-579.2499999999999
6,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,53.04836103832999,158.66565516738606,ru,2026-01-25 15:29:52.243000+00:00,2026-01-25 15:30:22.048000+00:00,55.80884614970678,53.69724573498354,ru,6114197.736378334,6114.2,185.0,14.8,3057.0,2823.0,-234.0,55.13183247854733,73.56640299813907,ru,5199682.572646679,5199.68,302.0,24.91,3443.0,3443.0,0.0,L,True,True,Russian Federation,Russian Federation,Russian Federation,Eastern MD,914.5199999999995
7,NoMoveDuels,True,62a44b22040f04bd36e8a914,False,12.206581772058994,-69.02318844462442,cw,2026-01-25 15:30:29.445000+00:00,2026-01-25 15:31:29.278000+00:00,14.492670340208283,-91.83680018375487,gt,2480199.563878673,2480.2,1312.0,44.83,2823.0,2511.0,-312.0,15.363764370088932,-90.18681125296672,gt,2311231.3613059926,2311.23,1437.0,61.32,3443.0,3443.0,0.0,L,False,False,Curaçao,Guatemala,Guatemala,,168.9699999999998
