rounds_played,start_time,end_time,my_health,opp_health,my_avg_dist_m,opp_avg_dist_m,my_avg_dist_km,opp_avg_dist_km,game_mode,is_rated,is_team_duels,result
5,2025-11-18 17:14:48.074000+00:00,2025-11-18 17:18:10.753000+00:00,6000.0,0.0,332156.79,1371194.47,332.16,1371.2,StandardDuels,True,False,W
2,2025-11-18 17:20:31.811000+00:00,2025-11-18 17:21:56.950000+00:00,6000.0,0.0,70167.27,9936382.63,70.16,9936.38,StandardDuels,True,False,W
7,2025-11-18 17:22:18.470000+00:00,2025-11-18 17:28:08.596000+00:00,0.0,4076.0,433293.17,368843.96,433.29,368.84,StandardDuels,True,False,L
5,2025-11-18 17:31:59.239000+00:00,2025-11-18 17:34:59.551000+00:00,6000.0,0.0,87474.98,989093.7,87.47,989.09,StandardDuels,True,False,W
9,2025-11-18 17:36:18.755000+00:00,2025-11-18 17:42:07.083000+00:00,1762.0,0.0,366498.11,186585.22,366.5,186.59,StandardDuels,True,False,W
5,2025-11-18 17:43:33.933000+00:00,2025-11-18 17:46:58.298000+00:00,0.0,6000.0,1751409.18,642347.74,1751.41,642.35,StandardDuels,True,False,L
2,2025-11-18 17:47:16.689000+00:00,2025-11-18 17:48:18.823000+00:00,6000.0,0.0,9349.05,1964472.09,9.35,1964.47,StandardDuels,True,False,W
6,2025-11-18 17:48:43.490000+00:00,2025-11-18 17:52:39.470000+00:00,0.0,5610.0,2011745.64,1439575.64,2011.75,1439.57,StandardDuels,True,False,L
7,2025-11-18 17:54:30.926000+00:00,2025-11-18 17:59:00.565000+00:00,6000.0,0.0,808551.02,2341928.14,808.55,2341.93,StandardDuels,True,False,W
7,2025-11-19 00:31:49.309000+00:00,2025-11-19 00:38:20.336000+00:00,4823.0,0.0,235800.55,560731.54,235.8,560.73,StandardDuels,True,False,W
6,2025-11-19 09:05:40.169000+00:00,2025-11-19 09:10:46.596000+00:00,3979.0,1253.0,168421.54,282602.55,168.42,282.6,StandardDuels,True,False,W
7,2025-11-19 09:13:54.890000+00:00,2025-11-19 09:18:03.084000+00:00,6000.0,0.0,1141264.71,3587169.75,1141.27,3587.17,StandardDuels,True,False,W
5,2025-11-19 09:18:23.531000+00:00,2025-11-19 09:22:45.461000+00:00,5994.0,0.0,246439.67,954950.47,246.44,954.95,StandardDuels,True,False,W
8,2025-11-19 13:09:36.813000+00:00,2025-11-19 13:17:42.410000+00:00,0.0,345.0,1496245.03,2285859.98,1496.24,2285.86,StandardDuels,True,False,L
5,2025-11-19 13:28:45.382000+00:00,2025-11-19 13:31:54.332000+00:00,2160.0,0.0,760183.13,1280894.76,760.18,1280.9,StandardDuels,True,False,W
6,2025-11-20 10:55:08.113000+00:00,2025-11-20 11:00:24.140000+00:00,5305.0,0.0,183890.74,1430314.64,183.89,1430.31,StandardDuels,True,False,W
4,2025-11-20 21:07:31.533000+00:00,2025-11-20 21:10:22.537000+00:00,6000.0,0.0,146583.64,1994786.78,146.58,1994.78,StandardDuels,True,False,W
5,2025-11-20 21:10:44.952000+00:00,2025-11-20 21:14:30.853000+00:00,0.0,5985.0,3598994.8,117903.94,3598.99,117.9,StandardDuels,True,False,L
3,2025-11-20 21:58:07.521000+00:00,2025-11-20 21:59:51.093000+00:00,6000.0,0.0,323915.66,6777790.49,323.92,6777.79,StandardDuels,True,False,W
5,2025-11-21 12:56:28.241000+00:00,2025-11-21 12:59:13.414000+00:00,5696.0,0.0,387408.96,893967.93,387.41,893.97,StandardDuels,True,False,W
7,2025-11-21 13:01:29.210000+00:00,2025-11-21 13:10:10.178000+00:00,0.0,5933.0,1169471.9,209448.66,1169.47,209.45,StandardDuels,True,False,L
7,2025-11-22 00:24:20.047000+00:00,2025-11-22 00:28:21.815000+00:00,4898.0,0.0,1454242.23,2760576.12,1454.24,2760.58,StandardDuels,True,False,W
7,2025-11-22 14:41:21.196000+00:00,2025-11-22 14:47:08.069000+00:00,0.0,1068.0,1901200.0,850407.63,1901.2,850.41,StandardDuels,True,False,L
6,2025-11-22 14:50:11.227000+00:00,2025-11-22 14:54:00.184000+00:00,6000.0,0.0,592039.35,1327434.06,592.04,1327.43,StandardDuels,True,False,W
6,2025-11-22 22:39:34.068000+00:00,2025-11-22 22:43:32.213000+00:00,0.0,930.0,889967.15,1427546.81,889.97,1427.55,StandardDuels,True,False,L
7,2025-11-22 22:44:14.115000+00:00,2025-11-22 22:48:14.108000+00:00,4982.0,0.0,373574.49,1425714.33,373.57,1425.71,StandardDuels,True,False,W
3,2025-11-23 11:51:58.786000+00:00,2025-11-23 11:55:04.349000+00:00,5463.0,0.0,125225.33,2720011.54,125.22,2720.01,StandardDuels,True,False,W
5,2025-11-23 14:03:47.677000+00:00,2025-11-23 14:06:53.514000+00:00,0.0,5988.0,484174.44,42833.97,484.17,42.83,StandardDuels,True,False,L
4,2025-11-23 14:07:52.098000+00:00,2025-11-23 14:10:28.127000+00:00,6000.0,0.0,56324.3,1491356.08,56.32,1491.36,StandardDuels,True,False,W
7,2025-11-23 14:11:08.696000+00:00,2025-11-23 14:15:22.198000+00:00,1243.0,0.0,523509.75,453720.17,523.51,453.72,StandardDuels,True,False,W
6,2025-11-23 14:16:44.693000+00:00,2025-11-23 14:22:34.169000+00:00,3594.0,0.0,569876.45,1245892.7,569.88,1245.89,StandardDuels,True,False,W
8,2025-11-23 14:23:29.545000+00:00,2025-11-23 14:31:59.679000+00:00,0.0,2246.0,1747767.96,717834.89,1747.77,717.83,StandardDuels,True,False,L
5,2025-11-23 14:32:51.809000+00:00,2025-11-23 14:36:01.636000+00:00,5996.0,0.0,280141.32,817576.45,280.14,817.58,StandardDuels,True,False,W
5,2025-11-23 14:37:07.782000+00:00,2025-11-23 14:40:24.252000+00:00,5901.0,0.0,151003.91,862988.24,151.01,862.99,StandardDuels,True,False,W
8,2025-11-23 22:18:45.314000+00:00,2025-11-23 22:24:30.728000+00:00,0.0,2026.0,280357.45,463831.29,280.36,463.83,StandardDuels,True,False,L
3,2025-11-23 22:24:52.426000+00:00,2025-11-23 22:26:35.936000+00:00,6000.0,0.0,72730.05,6354329.95,72.73,6354.33,StandardDuels,True,False,W
5,2025-11-24 11:12:05.589000+00:00,2025-11-24 11:15:40.665000+00:00,6000.0,0.0,486445.9,1274149.57,486.45,1274.15,StandardDuels,True,False,W
4,2025-11-24 11:22:38.642000+00:00,2025-11-24 11:25:27.900000+00:00,6000.0,0.0,100630.32,1347880.19,100.63,1347.88,StandardDuels,True,False,W
7,2025-11-24 14:47:11.158000+00:00,2025-11-24 14:51:17.348000+00:00,4686.0,0.0,413766.33,766958.54,413.77,766.96,StandardDuels,True,False,W
4,2025-11-24 14:53:44.677000+00:00,2025-11-24 14:56:38.582000+00:00,1940.0,0.0,569002.92,625932.12,569.0,625.93,StandardDuels,True,False,W
3,2025-11-24 14:56:58.552000+00:00,2025-11-24 14:59:12.621000+00:00,6000.0,0.0,4492.77,1866185.41,4.49,1866.19,StandardDuels,True,False,W
6,2025-11-24 19:06:46.140000+00:00,2025-11-24 19:10:53.721000+00:00,6000.0,0.0,1038171.99,2820632.15,1038.17,2820.63,StandardDuels,True,False,W
5,2025-11-25 16:29:33.605000+00:00,2025-11-25 16:32:38.313000+00:00,5232.0,0.0,191413.91,612539.42,191.41,612.54,StandardDuels,True,False,W
9,2025-11-26 14:22:51.652000+00:00,2025-11-26 14:29:08.233000+00:00,2306.0,0.0,261152.84,195159.09,261.15,195.16,StandardDuels,True,False,W
3,2025-11-26 14:31:24.396000+00:00,2025-11-26 14:33:41.459000+00:00,6000.0,0.0,3702.3,995585.8,3.7,995.59,StandardDuels,True,False,W
5,2025-11-26 14:34:26.279000+00:00,2025-11-26 14:38:09.742000+00:00,6000.0,0.0,226856.71,663754.98,226.85,663.76,StandardDuels,True,False,W
3,2025-11-26 17:01:05.776000+00:00,2025-11-26 17:02:53.944000+00:00,6000.0,0.0,5572.63,2401616.18,5.57,2401.62,StandardDuels,True,False,W
5,2025-11-26 17:03:20.770000+00:00,2025-11-26 17:06:50.558000+00:00,0.0,5488.0,709591.39,209599.21,709.59,209.6,StandardDuels,True,False,L
5,2025-11-26 17:07:15.329000+00:00,2025-11-26 17:09:52.295000+00:00,6000.0,0.0,100395.67,1973299.09,100.4,1973.3,StandardDuels,True,False,W
9,2025-11-26 17:10:01.713000+00:00,2025-11-26 17:16:07.114000+00:00,5927.0,0.0,144521.66,315511.24,144.52,315.51,StandardDuels,True,False,W
7,2025-11-26 17:16:28.120000+00:00,2025-11-26 17:22:34.358000+00:00,3119.0,0.0,308495.08,457898.37,308.5,457.9,StandardDuels,True,False,W
9,2025-11-26 17:28:11.351000+00:00,2025-11-26 17:35:49.843000+00:00,168.0,0.0,720388.73,1749487.98,720.39,1749.49,StandardDuels,True,False,W
12,2025-11-26 17:36:04.576000+00:00,2025-11-26 17:46:11.202000+00:00,3419.0,0.0,54783.57,485546.28,54.78,485.55,StandardDuels,True,False,W
8,2025-11-26 17:51:12.452000+00:00,2025-11-26 17:58:40.482000+00:00,5621.0,0.0,234038.11,523208.65,234.04,523.21,StandardDuels,True,False,W
3,2025-11-26 18:27:28.204000+00:00,2025-11-26 18:29:02.125000+00:00,5989.0,0.0,327892.81,5734189.96,327.89,5734.19,StandardDuels,True,False,W
4,2025-11-26 18:29:26.204000+00:00,2025-11-26 18:32:11.761000+00:00,6000.0,0.0,2111675.05,3919368.65,2111.67,3919.37,StandardDuels,True,False,W
8,2025-11-27 00:36:18.486000+00:00,2025-11-27 00:44:53.617000+00:00,3228.0,0.0,2190016.72,2513580.49,2190.02,2513.58,StandardDuels,True,False,W
11,2025-11-28 11:46:52.397000+00:00,2025-11-28 11:53:51.122000+00:00,0.0,909.0,525493.87,319980.13,525.49,319.98,StandardDuels,True,False,L
7,2025-11-28 11:54:54.178000+00:00,2025-11-28 12:01:02.045000+00:00,0.0,155.0,669930.66,474401.13,669.93,474.4,StandardDuels,True,False,L
7,2025-11-28 12:01:29.089000+00:00,2025-11-28 12:06:55.836000+00:00,1952.0,0.0,2763091.03,344550.41,2763.09,344.55,StandardDuels,True,False,W
9,2025-11-28 21:35:40.367000+00:00,2025-11-28 21:43:42.170000+00:00,1560.0,0.0,562119.47,580012.77,562.12,580.01,StandardDuels,True,False,W
7,2025-11-28 21:46:20.592000+00:00,2025-11-28 21:51:52.015000+00:00,4725.0,0.0,795693.0,2008976.71,795.69,2008.98,StandardDuels,True,False,W
6,2025-11-29 10:48:33.148000+00:00,2025-11-29 10:54:26.131000+00:00,4606.0,0.0,347730.57,1849154.83,347.73,1849.16,StandardDuels,True,False,W
6,2025-11-29 11:03:19.308000+00:00,2025-11-29 11:08:06.989000+00:00,2119.0,0.0,564175.77,1632226.96,564.18,1632.23,StandardDuels,True,False,W
6,2025-11-29 21:47:42.409000+00:00,2025-11-29 21:52:15.665000+00:00,4167.0,0.0,498582.47,3044375.43,498.58,3044.38,StandardDuels,True,False,W
12,2025-11-29 22:27:55.500000+00:00,2025-11-29 22:36:30.645000+00:00,2485.0,0.0,1516095.6,744149.93,1516.1,744.15,StandardDuels,True,False,W
4,2025-11-30 09:52:51.928000+00:00,2025-11-30 09:56:16.507000+00:00,6000.0,0.0,36174.92,670608.37,36.17,670.61,StandardDuels,True,False,W
6,2025-12-01 11:35:34.703000+00:00,2025-12-01 11:40:43.394000+00:00,3589.0,0.0,2072580.96,557830.4,2072.58,557.83,StandardDuels,True,False,W
6,2025-12-01 11:42:50.589000+00:00,2025-12-01 11:47:36.097000+00:00,0.0,2589.0,3929659.37,3474964.03,3929.66,3474.96,StandardDuels,True,False,L
11,2025-12-01 11:56:17.914000+00:00,2025-12-01 12:03:35.053000+00:00,770.0,0.0,3314890.97,2679823.73,3314.89,2679.82,StandardDuels,True,False,W
8,2025-12-01 15:02:49.553000+00:00,2025-12-01 15:09:18.493000+00:00,3354.0,0.0,589231.82,2537880.13,589.23,2537.88,StandardDuels,True,False,W
5,2025-12-01 16:17:59.620000+00:00,2025-12-01 16:21:38.759000+00:00,319.0,0.0,3197381.51,1599617.31,3197.38,1599.62,StandardDuels,True,False,W
2,2025-12-01 16:22:36.080000+00:00,2025-12-01 16:24:35.302000+00:00,6000.0,0.0,78963.42,5663670.36,78.96,5663.67,StandardDuels,True,False,W
