train_priority_rank,real_country_name,train_priority_score,train_bucket,rounds,avg_delta_km,accuracy_pct,avg_dist_km,rounds_imp,delta_imp,accuracy_imp,distance_imp
41,Bosnia and Herzegovina,32.29,Medium,11,187.702,9.090909090909092,587.0036363636364,1.1560693641618496,52.58311427225014,90.9090909090909,9.158013877854787
42,Ecuador,31.98,Medium,22,-117.54409090909121,31.818181818181817,4032.1477272727275,7.514450867052023,45.722907681450955,68.18181818181819,89.1687030208653
43,Portugal,31.88,Medium,25,51.99160000000002,76.0,654.8748,9.248554913294797,49.533111640775765,24.0,10.734266839178833
44,Australia,31.69,Medium,97,-1449.705360824742,68.04123711340206,3869.6461855670104,50.86705202312138,15.783452939655337,31.95876288659794,85.39473595429618
45,United Kingdom,31.58,Medium,72,-850.9397222222221,73.61111111111111,490.3684722222222,36.41618497109826,29.240319719018743,26.388888888888886,6.913740235192069
46,Ghana,31.39,Medium,27,-50.57925925925934,74.07407407407408,1205.5318518518518,10.404624277456648,47.22789854986063,25.925925925925924,23.522832146616864
47,Iceland,31.23,Medium,13,191.44166666666683,76.92307692307693,1587.1053846153848,2.312138728323699,52.66716083886678,23.076923076923066,32.384569278513496
48,Denmark,30.86,Medium,22,-84.65863636363635,31.818181818181817,745.275,7.514450867052023,46.46198680067002,68.18181818181819,12.833738475140901
49,"Taiwan, Province of China",30.26,Medium,29,-162.0148275862069,72.41379310344827,647.4175862068965,11.560693641618498,44.72345691062715,27.58620689655173,10.561079071431351
50,Eswatini,29.31,Low,13,-132.24615384615385,30.76923076923077,3082.1753846153847,2.312138728323699,45.39248841626462,69.23076923076923,67.10636257961036
51,Netherlands,28.86,Low,25,-207.85120000000003,64.0,304.784,9.248554913294797,43.69331436827734,36.0,2.603690749620724
52,New Zealand,28.73,Low,42,-643.2390243902438,69.04761904761905,3478.680238095238,19.07514450867052,33.90825729010098,30.95238095238095,76.3148675763056
53,Latvia,28.59,Low,20,-233.91549999999998,35.0,1024.7715,6.358381502890173,43.10753624377445,65.0,19.324818960589763
54,Bangladesh,28.25,Low,39,-513.8866666666667,71.7948717948718,664.5353846153846,17.341040462427745,36.81536707272872,28.205128205128204,10.958626114786757
55,Hungary,26.41,Low,25,-449.6244000000001,52.0,675.6044,9.248554913294797,38.25961955771028,48.0,11.215695057532768
56,Slovakia,26.38,Low,14,-251.51000000000002,42.857142857142854,235.46857142857144,2.8901734104046244,42.71211134413908,57.142857142857146,0.9938959015974971
57,Sri Lanka,25.61,Low,21,-509.64190476190475,47.61904761904761,2269.802380952381,6.9364161849710975,36.91076532503294,52.38095238095239,48.23965565847755
58,Czechia,25.2,Low,29,-596.0955172413793,58.620689655172406,420.9103448275862,11.560693641618498,34.967776832162365,41.379310344827594,5.300631322246317
59,Nigeria,25.09,Low,39,-745.1974358974359,79.48717948717949,507.56,17.341040462427745,31.616808562531958,20.51282051282051,7.312999583603894
60,Botswana,24.86,Low,30,-802.3793333333332,13.333333333333334,1753.2463333333333,12.138728323699421,30.331682753071625,86.66666666666667,36.243058633682644
61,Kyrgyzstan,24.73,Low,16,-452.10187499999995,62.5,2288.088125,4.046242774566474,38.20393992468723,37.5,48.66432729604516
62,Guatemala,23.59,Low,21,-601.072857142857,66.66666666666666,1571.6799999999998,6.9364161849710975,34.855914367699434,33.33333333333334,32.02632717867515
63,Slovenia,22.65,Low,13,-552.0838461538461,38.46153846153847,419.88461538461536,2.312138728323699,35.95691040359507,61.53846153846153,5.276809584333255
64,Lithuania,22.49,Low,22,-717.3947619047618,45.45454545454545,437.2581818181818,7.514450867052023,32.24165550749476,54.54545454545455,5.680296633507654
65,Kazakhstan,21.95,Low,22,-737.7199999999998,68.18181818181817,1296.8686363636364,7.514450867052023,31.784859052132315,31.818181818181827,25.644055201460453
66,Kenya,21.75,Very Low,36,-1030.9258333333335,66.66666666666666,1601.308888888889,15.606936416184972,25.195249388979718,33.33333333333334,32.714434194227046
67,"Bolivia, Plurinational State of",21.55,Very Low,32,-1070.3184375,25.0,1507.39375,13.294797687861271,24.309926330695593,75.0,30.533330941306573
68,Serbia,20.72,Very Low,23,-929.7833333333332,26.08695652173913,534.4934782608696,8.092485549132949,27.468361038152494,73.91304347826087,7.938507864188413
69,Montenegro,20.62,Very Low,12,-716.7275,33.33333333333333,581.2433333333333,1.7341040462427744,32.25665178313322,66.66666666666667,9.024235492113743
70,Luxembourg,20.45,Very Low,14,-677.8528571428571,64.28571428571429,192.67285714285714,2.8901734104046244,33.13033399917497,35.71428571428571,0.0
71,Croatia,18.46,Very Low,19,-999.3826315789474,42.10526315789473,536.8668421052631,5.780346820809249,25.90416225310807,57.89473684210527,7.993627322697599
72,Israel,17.76,Very Low,19,-991.1331578947368,73.68421052631578,850.4505263157895,5.780346820809249,26.089563787884483,26.31578947368422,15.276355131933506
73,Jordan,16.39,Very Low,12,-959.5916666666667,75.0,630.9216666666667,1.7341040462427744,26.79843820905073,25.0,10.177974662549236
